stress,cycle,defect_size
230,13733140,99.16
230,53400000,118.48
220,37900000,63.04
220,52200000,70.48
220,70900000,88.38
220,90700000,96.25
220,97000000,95.81
200,121000000,114.15
190,297000000,87.58
175,345000000,129.91
175,490000000,71.89
175,586000000,93.72
175,706000000,86.75
160,711000000,89.36
350,35826940,23.94
350,71553960,24.1
325,229931800,11.59
315,62849840,31.39
315,78016530,15.21
315,122840000,19.69
315,193416300,18.55
300,45444410,55.6
300,430386200,23.74
400,13254100,11.06
400,27049700,14.18
350,96843200,14.68
325,13543740,49.25
315,40788640,30.91
315,52868640,26.39
315,57643610,20.74
315,65626710,32.98
315,105589800,23.53
315,201962000,16.23
300,169888400,25.7
300,317996800,24.74
275,181271000,35.24
